LINE.DEPTH.CMD NUMBER 	COMBINED WALL-CLOCK TIME        	COMBINED CPU TIME               	COMMAND                             
└─ -53.1.0:         	( 0.001653s |  9.75% |  0.12% )   ( 0.001656s |  9.78% |  0.70% )    	(1x)	'TRAP (EXIT): echo bye'

109.0.0:               	( 0.034315s |  2.56% )            ( 0.033815s | 14.38% )             	(1x)	<< (SUBSHELL) >>
├─ 109.1.0:         	( 0.028897s | 84.21% |  2.15% )   ( 0.028362s | 83.87% | 12.06% )    	(1x)	trap 'echo bye' RETURN EXIT
│  110.1.0:           	( 0.003701s | 10.78% |  0.27% )   ( 0.003717s | 10.99% |  1.58% )    	(1x)	<< (FUNCTION): main.gg 1 >>
│  ├─ 1.2.0:      	( 0.000055s |  1.48% |  0.00% )   ( 0.000068s |  1.82% |  0.02% )    	(1x)	gg 1
│  │  8.2.0:        	( 0.000084s |  2.26% |  0.00% )   ( 0.000098s |  2.63% |  0.04% )    	(1x)	echo "$*"
│  │  8.2.1:        	( 0.001797s | 48.55% |  0.13% )   ( 0.001829s | 49.20% |  0.77% )    	(1x)	<< (FUNCTION): main.gg.ff "$@" >>
│  │  ├─ 1.3.0: 	( 0.000062s |  3.45% |  0.00% )   ( 0.000072s |  3.93% |  0.03% )    	(1x)	ff "$@"
│  │  └─ 8.3.0: 	( 0.001735s | 48.27% |  0.12% )   ( 0.001757s | 48.02% |  0.74% )    	(2x)	echo "${*}"
│  └─ 8.2.2:      	( 0.001765s | 47.68% |  0.13% )   ( 0.001722s | 46.32% |  0.73% )    	(1x)	echo "${*}"
│  111.1.0:           	( 0.000061s |  0.17% |  0.00% )   ( 0.000074s |  0.21% |  0.03% )    	(1x)	exit
└─ -53.1.0:         	( 0.001656s |  4.82% |  0.12% )   ( 0.001662s |  4.91% |  0.70% )    	(1x)	'TRAP (EXIT): echo bye'

115.0.0:               	( 0.038522s |  2.87% )            ( 0.037952s | 16.14% )             	(1x)	<< (SUBSHELL) >>
├─ 115.1.0:         	( 0.013404s | 34.79% |  1.00% )   ( 0.013313s | 35.07% |  5.66% )    	(1x)	trap 'echo exit' EXIT
│  116.1.0:           	( 0.019766s | 51.31% |  1.47% )   ( 0.019229s | 50.66% |  8.17% )    	(1x)	trap 'echo return' RETURN
│  117.1.0:           	( 0.003657s |  9.49% |  0.27% )   ( 0.003695s |  9.73% |  1.57% )    	(1x)	<< (FUNCTION): .gg 1 >>
